mfr,calories,protein,fat,sodium,fibre,carbo,sugars,shelf,potassium,vitamins
Frosted Mini-Wheats,K,125.00000, 3.7500000,0.0000000,  0.00000, 3.750000,17.50000, 8.750000,2,125.00000,enriched
Fruit & Fibre: Dates Walnuts and Oats,P,179.10448, 4.4776119,2.9850746,238.80597, 7.462687,17.91045,14.925373,3,298.50746,enriched
Fruitful Bran,K,179.10448, 4.4776119,0.0000000,358.20896, 7.462687,20.89552,17.910448,3,283.58209,enriched
Fruity Pebbles,P,146.66667, 1.3333333,1.3333333,180.00000, 0.000000,17.33333,16.000000,2, 33.33333,enriched
Golden Crisp,P,113.63636, 2.2727273,0.0000000, 51.13636, 0.000000,12.50000,17.045455,1, 45.45455,enriched
Golden Grahams,G,146.66667, 1.3333333,1.3333333,373.33333, 0.000000,20.00000,12.000000,2, 60.00000,enriched
Grape Nuts Flakes,P,113.63636, 3.4090909,1.1363636,159.09091, 3.409091,17.04545, 5.681818,3, 96.59091,enriched
Grape-Nuts,P,440.00000,12.0000000,0.0000000,680.00000,12.000000,68.00000,12.000000,3,360.00000,enriched
Great Grains Pecan,P,363.63636, 9.0909091,9.0909091,227.27273, 9.090909,39.39394,12.121212,3,303.03030,enriched
Honey Graham Ohs,Q,120.00000, 1.0000000,2.0000000,220.00000, 1.000000,12.00000,11.000000,2, 45.00000,enriched
Honey Nut Cheerios,G,146.66667, 4.0000000,1.3333333,333.33333, 2.000000,15.33333,13.333333,1,120.00000,enriched
Honey-comb,P, 82.70677, 0.7518797,0.0000000,135.33835, 0.000000,10.52632, 8.270677,1, 26.31579,enriched
Just Right Fruit & Nut,K,186.66667, 4.0000000,1.3333333,226.66667, 2.666667,26.66667,12.000000,3,126.66667,100%
Kix,G, 73.33333, 1.3333333,0.6666667,173.33333, 0.000000,14.00000, 2.000000,2, 26.66667,enriched
Life,Q,149.25373, 5.9701493,2.9850746,223.88060, 2.985075,17.91045, 8.955224,2,141.79104,enriched
Lucky Charms,G,110.00000, 2.0000000,1.0000000,180.00000, 0.000000,12.00000,12.000000,2, 55.00000,enriched
Mueslix Crispy Blend,K,238.80597, 4.4776119,2.9850746,223.88060, 4.477612,25.37313,19.402985,3,238.80597,enriched
Multi-Grain Cheerios,G,100.00000, 2.0000000,1.0000000,220.00000, 2.000000,15.00000, 6.000000,1, 90.00000,enriched
Nut&Honey Crunch,K,179.10448, 2.9850746,1.4925373,283.58209, 0.000000,22.38806,13.432836,2, 59.70149,enriched
Nutri-Grain Almond-Raisin,K,208.95522, 4.4776119,2.9850746,328.35821, 4.477612,31.34328,10.447761,3,194.02985,enriched
Oatmeal Raisin Crisp,G,260.00000, 6.0000000,4.0000000,340.00000, 3.000000,27.00000,20.000000,3,240.00000,enriched
Post Nat. Raisin Bran,P,179.10448, 4.4776119,1.4925373,298.50746, 8.955224,16.41791,20.895522,3,388.05970,enriched
Product 19,K,100.00000, 3.0000000,0.0000000,320.00000, 1.000000,20.00000, 3.000000,3, 45.00000,100%
Puffed Rice,Q, 50.00000, 1.0000000,0.0000000,  0.00000, 0.000000,13.00000, 0.000000,3, 15.00000,none
Quaker Oat Squares,Q,200.00000, 8.0000000,2.0000000,270.00000, 4.000000,28.00000,12.000000,3,220.00000,enriched
Raisin Bran,K,160.00000, 4.0000000,1.3333333,280.00000, 6.666667,18.66667,16.000000,2,320.00000,enriched
Raisin Nut Bran,G,200.00000, 6.0000000,4.0000000,280.00000, 5.000000,21.00000,16.000000,3,280.00000,enriched
Raisin Squares,K,180.00000, 4.0000000,0.0000000,  0.00000, 4.000000,30.00000,12.000000,3,220.00000,enriched
Rice Chex,R, 97.34513, 0.8849558,0.0000000,212.38938, 0.000000,20.35398, 1.769912,1, 26.54867,enriched
Rice Krispies,K,110.00000, 2.0000000,0.0000000,290.00000, 0.000000,22.00000, 3.000000,1, 35.00000,enriched
Shredded Wheat 'n'Bran,N,134.32836, 4.4776119,0.0000000,  0.00000, 5.970149,28.35821, 0.000000,1,208.95522,none
Shredded Wheat spoon size,N,134.32836, 4.4776119,0.0000000,  0.00000, 4.477612,29.85075, 0.000000,1,179.10448,none
Smacks,K,146.66667, 2.6666667,1.3333333, 93.33333, 1.333333,12.00000,20.000000,2, 53.33333,enriched
Special K,K,110.00000, 6.0000000,0.0000000,230.00000, 1.000000,16.00000, 3.000000,1, 55.00000,enriched
Total Corn Flakes,G,110.00000, 2.0000000,1.0000000,200.00000, 0.000000,21.00000, 3.000000,3, 35.00000,100%
Total Raisin Bran,G,140.00000, 3.0000000,1.0000000,190.00000, 4.000000,15.00000,14.000000,3,230.00000,100%
Total Whole Grain,G,100.00000, 3.0000000,1.0000000,200.00000, 3.000000,16.00000, 3.000000,3,110.00000,100%
Triples,G,146.66667, 2.6666667,1.3333333,333.33333, 0.000000,28.00000, 4.000000,3, 80.00000,enriched
Trix,G,110.00000, 1.0000000,1.0000000,140.00000, 0.000000,13.00000,12.000000,2, 25.00000,enriched
Wheat Chex,R,149.25373, 4.4776119,1.4925373,343.28358, 4.477612,25.37313, 4.477612,1,171.64179,enriched
Wheaties,G,100.00000, 3.0000000,1.0000000,200.00000, 3.000000,17.00000, 3.000000,1,110.00000,enriched
Wheaties Honey Gold,G,146.66667, 2.6666667,1.3333333,266.66667, 1.333333,21.33333,10.666667,1, 80.00000,enriched
